,3x3-basketball,alpine-skiing,archery,artistic-gymnastics,artistic-swimming,athletics,badminton,baseball,baseball-softball,basketball,basque-pelota,beach-volleyball,biathlon,bobsleigh,boxing,canoe-marathon,canoe-slalom,canoe-sprint,cricket,croquet,cross-country-skiing,curling,cycling-bmx,cycling-bmx-freestyle,cycling-bmx-racing,cycling-mountain-bike,cycling-road,cycling-track,diving,equestrian,equestrian-dressage,equestrian-eventing,equestrian-jumping,equestrian-vaulting,fencing,figure-skating,football,freestyle-skiing,golf,gymnastics-artistic,gymnastics-rhythmic,handball,hockey,ice-hockey,jeu-de-paume,judo,karate,lacrosse,luge,marathon-swimming,military-patrol,modern-pentathlon,nordic-combined,polo,rackets,rhythmic-gymnastics,roque,rowing,rugby,rugby-sevens,sailing,shooting,short-track,short-track-speed-skating,skateboarding,skeleton,ski-jumping,snowboard,softball,speed-skating,sport-climbing,surfing,swimming,synchronized-swimming,table-tennis,taekwondo,tennis,trampoline,trampoline-gymnastics,triathlon,tug-of-war,volleyball,water-motorsports,water-polo,weightlifting,wrestling
oslo-1952,,True,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
london-1948,,,,,,True,,,,True,,,,,True,True,,True,,,,,,,,,True,True,True,,True,True,True,,True,,True,,,,,,True,,,,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,,True,,,,,,,,,,,True,True,True
st-moritz-1948,,True,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,True,True,,,True,,,,,,,,,,,,,,,,
berlin-1936,,,,,,True,,,,True,,,,,True,,,True,,,,,,,,,True,True,True,,True,True,True,,True,,True,,,,,True,True,,,,,,,,,True,,True,,,,True,,,True,True,,,,,,,,,,,True,,,,,,,,,,,True,True,True
garmisch-partenkirchen-1936,,True,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
los-angeles-1932,,,,,,True,,,,,,,,,True,,,,,,,,,,,,True,True,True,,True,True,True,,True,,,,,,,,True,,,,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,,True,,,,,,,,,,,True,True,True
lake-placid-1932,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
amsterdam-1928,,,,,,True,,,,,,,,,True,,,,,,,,,,,,True,True,True,,True,True,True,,True,,True,,,,,,True,,,,,,,,,True,,,,,,True,,,True,,,,,,,,,,,,True,,,,,,,,,,,True,True,True
st-moritz-1928,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,True,True,,,True,,,,,,,,,,,,,,,,
paris-1924,,,,,,True,,,,,,,,,True,,,,,,,,,,,,True,True,True,,True,True,True,,True,,True,,,True,,,,,,,,,,,,True,,True,,,,True,True,,True,True,,,,,,,,,,,True,,,,True,,,,,,,True,True,True
chamonix-1924,,,,,,,,,,,,,,True,,,,,,,True,True,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,True,,True,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
antwerp-1920,,,True,,,True,,,,,,,,,True,,,,,,,,,,,,True,True,True,,True,True,True,True,True,True,True,,,,,,True,True,,,,,,,,True,,True,,,,True,True,,True,True,,,,,,,,,,,True,,,,True,,,,True,,,True,True,True
stockholm-1912,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,True,,True,True,True,,True,,True,,,,,,,,,,,,,,,True,,,,,,True,,,True,True,,,,,,,,,,,True,,,,True,,,,True,,,True,,True
london-1908,,,True,,,True,,,,,,,,,True,,,,,,,,,,,,,True,True,,,,,,True,True,True,,,True,,,True,,True,,,True,,,,,,True,True,,,True,True,,True,True,,,,,,,,,,,True,,,,True,,,,True,,True,True,,True
st-louis-1904,,,True,,,True,,,,,,,,,True,,,,,,,,,,,,,True,True,,,,,,True,,True,,True,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,,,,,,True,,,,True,,,,True,,,True,True,True
paris-1900,,,True,,,True,,,,,True,,,,,,,,True,True,,,,,,,,True,,,,,True,,True,,True,,True,True,,,,,,,,,,,,,,True,,,,True,True,,True,True,,,,,,,,,,,True,,,,True,,,,True,,,True,,
athens-1896,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,True,,,,,,,,True,True
