Event,AFGm,AFGw,AFGall,ALBm,ALBw,ALBall,ALGm,ALGw,ALGall,ASAm,ASAw,ASAall,ANDm,ANDw,ANDall,ANGm,ANGw,ANGall,ANTm,ANTw,ANTall,ARGm,ARGw,ARGall,ARMm,ARMw,ARMall,ARUm,ARUw,ARUall,ANZm,ANZw,ANZall,AUSm,AUSw,AUSall,AUTm,AUTw,AUTall,AZEm,AZEw,AZEall,BRNm,BRNw,BRNall,BANm,BANw,BANall,BARm,BARw,BARall,BLRm,BLRw,BLRall,BELm,BELw,BELall,BIZm,BIZw,BIZall,BENm,BENw,BENall,BERm,BERw,BERall,BHUm,BHUw,BHUall,BOHm,BOHw,BOHall,BOLm,BOLw,BOLall,BIHm,BIHw,BIHall,BOTm,BOTw,BOTall,BRAm,BRAw,BRAall,IVBm,IVBw,IVBall,BRUm,BRUw,BRUall,BULm,BULw,BULall,BURm,BURw,BURall,BDIm,BDIw,BDIall,CPVm,CPVw,CPVall,CAMm,CAMw,CAMall,CMRm,CMRw,CMRall,CANm,CANw,CANall,CAYm,CAYw,CAYall,CAFm,CAFw,CAFall,CHAm,CHAw,CHAall,CHIm,CHIw,CHIall,TPEm,TPEw,TPEall,COLm,COLw,COLall,COMm,COMw,COMall,CGOm,CGOw,CGOall,COKm,COKw,COKall,CRCm,CRCw,CRCall,CIVm,CIVw,CIVall,CRTm,CRTw,CRTall,CROm,CROw,CROall,CUBm,CUBw,CUBall,CYPm,CYPw,CYPall,CZEm,CZEw,CZEall,TCHm,TCHw,TCHall,PRKm,PRKw,PRKall,CODm,CODw,CODall,DENm,DENw,DENall,DJIm,DJIw,DJIall,DMAm,DMAw,DMAall,DOMm,DOMw,DOMall,GDRm,GDRw,GDRall,ECUm,ECUw,ECUall,EGYm,EGYw,EGYall,ESAm,ESAw,ESAall,GEQm,GEQw,GEQall,ERIm,ERIw,ERIall,ESTm,ESTw,ESTall,SWZm,SWZw,SWZall,ETHm,ETHw,ETHall,FSMm,FSMw,FSMall,FIJm,FIJw,FIJall,FINm,FINw,FINall,FRAm,FRAw,FRAall,GABm,GABw,GABall,GEOm,GEOw,GEOall,GERm,GERw,GERall,GHAm,GHAw,GHAall,GBRm,GBRw,GBRall,GREm,GREw,GREall,GRNm,GRNw,GRNall,GUMm,GUMw,GUMall,GUAm,GUAw,GUAall,GUIm,GUIw,GUIall,GBSm,GBSw,GBSall,GUYm,GUYw,GUYall,HAIm,HAIw,HAIall,HONm,HONw,HONall,HKGm,HKGw,HKGall,HUNm,HUNw,HUNall,ISLm,ISLw,ISLall,IOAm,IOAw,IOAall,INDm,INDw,INDall,INAm,INAw,INAall,IRQm,IRQw,IRQall,IRLm,IRLw,IRLall,IRIm,IRIw,IRIall,ISRm,ISRw,ISRall,ITAm,ITAw,ITAall,JAMm,JAMw,JAMall,JPNm,JPNw,JPNall,JORm,JORw,JORall,KAZm,KAZw,KAZall,KENm,KENw,KENall,KSAm,KSAw,KSAall,KIRm,KIRw,KIRall,CORm,CORw,CORall,KOSm,KOSw,KOSall,KUWm,KUWw,KUWall,KGZm,KGZw,KGZall,LAOm,LAOw,LAOall,LATm,LATw,LATall,LBNm,LBNw,LBNall,LESm,LESw,LESall,LBRm,LBRw,LBRall,LBAm,LBAw,LBAall,LIEm,LIEw,LIEall,LTUm,LTUw,LTUall,LUXm,LUXw,LUXall,MADm,MADw,MADall,MAWm,MAWw,MAWall,MALm,MALw,MALall,MASm,MASw,MASall,MDVm,MDVw,MDVall,MLIm,MLIw,MLIall,MLTm,MLTw,MLTall,MHLm,MHLw,MHLall,MTNm,MTNw,MTNall,MRIm,MRIw,MRIall,MEXm,MEXw,MEXall,MONm,MONw,MONall,MGLm,MGLw,MGLall,MNEm,MNEw,MNEall,MARm,MARw,MARall,MOZm,MOZw,MOZall,MYAm,MYAw,MYAall,NAMm,NAMw,NAMall,NRUm,NRUw,NRUall,NEPm,NEPw,NEPall,NEDm,NEDw,NEDall,AHOm,AHOw,AHOall,NZLm,NZLw,NZLall,NCAm,NCAw,NCAall,NIGm,NIGw,NIGall,NGRm,NGRw,NGRall,NBOm,NBOw,NBOall,MKDm,MKDw,MKDall,YARm,YARw,YARall,NORm,NORw,NORall,OMAm,OMAw,OMAall,PAKm,PAKw,PAKall,PLWm,PLWw,PLWall,PLEm,PLEw,PLEall,PANm,PANw,PANall,PNGm,PNGw,PNGall,PARm,PARw,PARall,CHNm,CHNw,CHNall,PERm,PERw,PERall,PHIm,PHIw,PHIall,POLm,POLw,POLall,PORm,PORw,PORall,PURm,PURw,PURall,QATm,QATw,QATall,EORm,EORw,EORall,KORm,KORw,KORall,MDAm,MDAw,MDAall,RHOm,RHOw,RHOall,ROCm,ROCw,ROCall,ROUm,ROUw,ROUall,RUSm,RUSw,RUSall,RWAm,RWAw,RWAall,SAAm,SAAw,SAAall,SKNm,SKNw,SKNall,LCAm,LCAw,LCAall,VINm,VINw,VINall,SAMm,SAMw,SAMall,SMRm,SMRw,SMRall,STPm,STPw,STPall,SENm,SENw,SENall,SRBm,SRBw,SRBall,SCGm,SCGw,SCGall,SEYm,SEYw,SEYall,SLEm,SLEw,SLEall,SGPm,SGPw,SGPall,SVKm,SVKw,SVKall,SLOm,SLOw,SLOall,SOLm,SOLw,SOLall,SOMm,SOMw,SOMall,RSAm,RSAw,RSAall,SSDm,SSDw,SSDall,VNMm,VNMw,VNMall,YMDm,YMDw,YMDall,URSm,URSw,URSall,ESPm,ESPw,ESPall,SRIm,SRIw,SRIall,SUDm,SUDw,SUDall,SURm,SURw,SURall,SWEm,SWEw,SWEall,SUIm,SUIw,SUIall,SYRm,SYRw,SYRall,TJKm,TJKw,TJKall,THAm,THAw,THAall,BAHm,BAHw,BAHall,GAMm,GAMw,GAMall,TLSm,TLSw,TLSall,TOGm,TOGw,TOGall,TGAm,TGAw,TGAall,TTOm,TTOw,TTOall,TUNm,TUNw,TUNall,TURm,TURw,TURall,TKMm,TKMw,TKMall,TUVm,TUVw,TUVall,UGAm,UGAw,UGAall,UKRm,UKRw,UKRall,EUNm,EUNw,EUNall,UAEm,UAEw,UAEall,UARm,UARw,UARall,TANm,TANw,TANall,USAm,USAw,USAall,ISVm,ISVw,ISVall,UNKm,UNKw,UNKall,URUm,URUw,URUall,UZBm,UZBw,UZBall,VANm,VANw,VANall,VENm,VENw,VENall,VIEm,VIEw,VIEall,FRGm,FRGw,FRGall,WIFm,WIFw,WIFall,YEMm,YEMw,YEMall,YUGm,YUGw,YUGall,ZAMm,ZAMw,ZAMall,ZIMm,ZIMw,ZIMall
1936 Summer Olympics,15,0,15.0,,,,,,,,,,,,,,,,,,,50.0,1,51.0,,,,,,,,,,28.0,4,32.0,217.0,17,234.0,,,,,,,,,,,,,,,,145,5,150.0,,,,,,,5.0,0,5.0,,,,,,,2.0,0,2.0,,,,,,,67.0,6,73.0,,,,,,,26.0,0,26.0,,,,,,,,,,,,,,,,79.0,18,97.0,,,,,,,,,,39.0,1,40.0,,,,5,0,5.0,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,175.0,14,189.0,,,,,,,105,16,121.0,,,,,,,,,,,,,,,,53.0,0,53.0,,,,,,,,,,33.0,0,33.0,,,,,,,,,,,,,103.0,5,108.0,190.0,11,201.0,,,,,,,389.0,44,433.0,,,,171,37,208.0,40.0,1,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,19,216.0,12.0,0,12.0,,,,27,0,27.0,,,,,,,,,,,,,,,,228.0,16,244.0,,,,204.0,16,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0,29.0,,,,,,,,,,,,,6,0,6.0,,,,48,1,49.0,,,,,,,,,,,,,,,,,,,11,0,11.0,,,,,,,,,,32.0,0,32.0,8.0,0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,144.0,21,165.0,,,,7.0,0,7.0,,,,,,,,,,,,,,,,,,,68.0,2,70.0,,,,,,,,,,,,,,,,,,,,,,52.0,2,54.0,40,0,40.0,28.0,0,28.0,127.0,17,144.0,19.0,0,19.0,,,,,,,,,,,,,,,,,,,,,,52.0,2,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,6,32.0,,,,,,,,,,,,,,,,,,,,,,,,,163.0,8,171.0,184.0,6,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,2,48.0,,,,,,,,,,,,,,,,,,,,,,,,,313.0,46,359.0,,,,,,,37.0,0,37.0,,,,,,,,,,,,,,,,,,,,,,78.0,15,93.0,,,,,,
1936 Winter Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,50.0,10,60.0,,,,,,,,,,,,,,,,24,3,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0,7.0,,,,,,,,,,,,,,,,22.0,7,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,5,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2,5.0,,,,,,,,,,,,,19.0,0,19.0,28.0,0,28.0,,,,,,,48.0,7,55.0,,,,29,10,39.0,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,5,40.0,,,,30.0,1,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,3,26.0,,,,,,,,,,,,,4,0,4.0,,,,4,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,6,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,6.0,,,,,,,,,,31.0,1,32.0,30.0,4,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,46.0,9,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0,17.0,,,,,,
1948 Summer Olympics,25,0,25.0,,,,,,,,,,,,,,,,,,,189.0,11,200.0,,,,,,,,,,66.0,9,75.0,117.0,32,149.0,,,,,,,,,,,,,,,,132,19,151.0,,,,,,,10.0,2,12.0,,,,,,,,,,,,,,,,59.0,11,70.0,,,,,,,,,,,,,,,,,,,,,,,,,105.0,22,127.0,,,,,,,,,,50.0,4,54.0,,,,6,0,6.0,,,,,,,,,,,,,,,,,,,,,,53.0,0,53.0,,,,,,,76.0,14,90.0,,,,,,,144,18,162.0,,,,,,,,,,,,,,,,86.0,0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,126.0,6,132.0,279.0,37,316.0,,,,,,,,,,,,,337,70,407.0,60.0,1,61.0,,,,,,,,,,,,,,,,4.0,0,4.0,,,,,,,,,,107,21,128.0,18.0,3,21.0,,,,79,0,79.0,,,,11.0,0,11.0,76,5,81.0,36.0,0,36.0,,,,194.0,21,215.0,9.0,4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8.0,,,,,,,,,,2,0,2.0,,,,42,3,45.0,,,,,,,,,,,,,,,,,,,1,0,1.0,,,,,,,,,,81.0,7,88.0,4.0,0,4.0,,,,,,,,,,,,,4,0,4.0,,,,,,,,,,115.0,34,149.0,,,,6.0,1,7.0,,,,,,,,,,,,,,,,,,,77.0,4,81.0,,,,35,0,35.0,,,,,,,1.0,0,1.0,,,,,,,30.0,1,31.0,41,0,41.0,26.0,0,26.0,31.0,7,38.0,48.0,0,48.0,9.0,0,9.0,,,,,,,45.0,1,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1.0,,,,,,,,,,,,,34,1,35.0,,,,,,,,,,,,,65.0,0,65.0,7.0,0,7.0,,,,,,,162.0,19,181.0,178.0,9,187.0,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,5,0,5.0,,,,57.0,1,58.0,,,,,,,,,,,,,,,,,,,,,,,,,262.0,38,300.0,,,,,,,60.0,1,61.0,,,,,,,1,0,1.0,,,,,,,,,,,,,79.0,11,90.0,,,,,,
1948 Winter Olympics,,,,,,,,,,,,,,,,,,,,,,9.0,0,9.0,,,,,,,,,,,,,42.0,12,54.0,,,,,,,,,,,,,,,,10,1,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,,,,,,,,,,,,,,,,24.0,4,28.0,,,,,,,,,,4.0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,6,47.0,,,,,,,2,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0,24.0,28.0,8,36.0,,,,,,,,,,,,,43,12,55.0,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,22.0,4.0,0,4.0,,,,,,,,,,,,,,,,,,,,,,50.0,3,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1.0,,,,,,,,,,10,0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,45.0,4,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0,29.0,,,,,,,,,,,,,3.0,0,3.0,,,,,,,,,,7.0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0,6.0,,,,,,,,,,42.0,1,43.0,60.0,11,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,59.0,10,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0,17.0,,,,,,
1952 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,115.0,8,123.0,,,,,,,,,,71.0,10,81.0,91.0,21,112.0,,,,,,,,,,,,,,,,130,5,135.0,,,,,,,4.0,2,6.0,,,,,,,,,,,,,,,,92.0,5,97.0,,,,,,,54.0,9,63.0,,,,,,,,,,,,,,,,97.0,10,107.0,,,,,,,,,,55.0,4,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0,29.0,,,,,,,86.0,13,99.0,,,,,,,115,14,129.0,,,,,,,,,,,,,,,,106.0,0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,228.0,30,258.0,214.0,31,245.0,,,,,,,173.0,32,205.0,7.0,0,7.0,213,44,257.0,48.0,0,48.0,,,,,,,20,1,21.0,,,,,,,1.0,0,1.0,,,,,,,2,2,4.0,162,27,189.0,9.0,0,9.0,,,,60,4,64.0,3.0,0,3.0,,,,19,0,19.0,22.0,0,22.0,22.0,3,25.0,208.0,23,231.0,6.0,2,8.0,58.0,11,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9.0,,,,,,,,,,2,0,2.0,,,,44,0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,3,64.0,8.0,0,8.0,,,,,,,,,,,,,5,0,5.0,,,,,,,,,,78.0,26,104.0,11.0,0,11.0,12.0,2,14.0,,,,,,,9,0,9.0,,,,,,,,,,96.0,6,102.0,,,,38,0,38.0,,,,,,,1.0,0,1.0,,,,,,,1.0,0,1.0,,,,25.0,0,25.0,103.0,22,125.0,68.0,3,71.0,21.0,0,21.0,,,,,,,18.0,1,19.0,,,,,,,,,,103.0,11,114.0,,,,,,,31.0,5.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5.0,,,,,,,,,,,,,60,4,64.0,,,,8.0,0,8.0,,,,255.0,40,295.0,27.0,0,27.0,5.0,0,5.0,,,,,,,183.0,23,206.0,148.0,9,157.0,,,,,,,8.0,0,8.0,7.0,0,7.0,,,,,,,,,,,,,2,0,2.0,,,,51.0,0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,245.0,41,286.0,,,,,,,31.0,1,32.0,,,,,,,36,2,38.0,,,,,,,,,,,,,77.0,10,87.0,,,,,,
1952 Winter Olympics,,,,,,,,,,,,,,,,,,,,,,11.0,1,12.0,,,,,,,,,,7.0,2,9.0,31.0,8,39.0,,,,,,,,,,,,,,,,9,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0,9.0,,,,,,,,,,,,,,,,31.0,8,39.0,,,,,,,,,,3.0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0,22.0,,,,,,,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,5,50.0,20.0,6,26.0,,,,,,,41.0,12,53.0,,,,8,10,18.0,3.0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,12.0,11.0,0,11.0,,,,,,,,,,,,,,,,,,,,,,28.0,5,33.0,,,,13.0,0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2,11.0,,,,2.0,1,3.0,,,,,,,,,,,,,,,,,,,61.0,12,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,3,30.0,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,16.0,0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,,,,,,,,,,56.0,9,65.0,46.0,9,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,10,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2,6.0,,,,,,
1956 Equestrian Olympics,,,,,,,,,,,,,,,,,,,,,,7.0,0,7.0,,,,,,,,,,4.0,0,4.0,5.0,0,5.0,,,,,,,,,,,,,,,,2,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0,3.0,,,,,,,4.0,0,4.0,,,,,,,,,,2.0,0,2.0,,,,4.0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,6.0,,,,,,,,,,,,,,,,3.0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0,7.0,8.0,0,8.0,,,,,,,6.0,3,9.0,,,,5,3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3.0,,,,,,,,,,,,,,,,6,0,6.0,,,,,,,6.0,0,6.0,,,,2.0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0,7.0,,,,,,,,,,,,,,,,,,,,,,6.0,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0,9.0,6.0,0,6.0,,,,,,,,,,9.0,0,9.0,9.0,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,8.0,,,,,,,,,,,,,,,,3,0,3.0,,,,,,,,,,,,,,,,,,,,,
1956 Summer Olympics,12,0,12.0,,,,,,,,,,,,,,,,,,,27.0,1,28.0,,,,,,,,,,250.0,44,294.0,24.0,5,29.0,,,,,,,,,,,,,,,,51,3,54.0,,,,,,,3.0,0,3.0,,,,,,,,,,,,,,,,43.0,1,44.0,,,,,,,40.0,3,43.0,,,,,,,,,,,,,,,,77.0,15,92.0,,,,,,,,,,31.0,2,33.0,20.0,0,20.0,26,0,26.0,,,,,,,,,,,,,,,,,,,,,,15.0,1,16.0,,,,,,,51.0,12,63.0,,,,,,,27,4,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0,12.0,,,,5.0,0,5.0,63.0,1,64.0,119.0,18,137.0,,,,,,,134.0,24,158.0,,,,163,26,189.0,13.0,0,13.0,,,,,,,,,,,,,,,,3.0,1,4.0,,,,,,,2,0,2.0,88,20,108.0,2.0,0,2.0,,,,58,1,59.0,20.0,2,22.0,,,,11,1,12.0,17.0,0,17.0,2.0,1,3.0,114.0,15,129.0,6.0,0,6.0,94.0,16,110.0,,,,,,,24,1,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,,,,,,,,,,10,1,11.0,,,,,,,32.0,1,33.0,,,,,,,,,,,,,,,,,,,,,,21.0,3,24.0,,,,,,,,,,,,,,,,11,0,11.0,,,,,,,,,,,,,,,,43.0,8,51.0,,,,,,,10,0,10.0,2.0,0.0,2.0,,,,,,,18.0,0,18.0,,,,55,0,55.0,,,,,,,,,,,,,,,,,,,8,0,8.0,35.0,4,39.0,49.0,15,64.0,5.0,0,5.0,10.0,0,10.0,,,,,,,35.0,0,35.0,,,,,,,,,,33.0,11,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,2,49.0,,,,,,,,,,,,,44,6,50.0,,,,6.0,0,6.0,,,,233.0,39,272.0,,,,3.0,0,3.0,,,,,,,74.0,14,88.0,,,,,,,,,,35.0,0,35.0,4.0,0,4.0,,,,,,,,,,,,,6,0,6.0,,,,13.0,0,13.0,,,,,,,3.0,0,3.0,,,,,,,,,,,,,,,,251.0,46,297.0,,,,,,,21.0,0,21.0,,,,,,,19,0,19.0,,,,,,,,,,,,,32.0,3,35.0,,,,,,
1956 Winter Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1,8.0,50.0,10,60.0,,,,,,,,,,,,,,,,4,0,4.0,,,,,,,,,,,,,,,,1.0,0,1.0,,,,,,,,,,,,,,,,6.0,1,7.0,,,,,,,,,,,,,,,,27.0,8,35.0,,,,,,,,,,3.0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,6,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,4,31.0,25.0,7,32.0,,,,,,,52.0,11,63.0,,,,31,10,41.0,3.0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2.0,6.0,1,7.0,,,,,,,,,,,,,,,,3.0,0,3.0,,,,53.0,12,65.0,,,,10.0,0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3.0,,,,,,,,,,8,0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,37.0,8,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,7,51.0,,,,,,,,,,,,,4.0,0,4.0,,,,,,,,,,14.0,6,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,6,53.0,9.0,0,9.0,,,,,,,,,,50.0,8,58.0,51.0,8,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,57.0,10,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,5,17.0,,,,,,
1960 Summer Olympics,12,0,12.0,,,,,,,,,,,,,,,,,,,91.0,1,92.0,,,,,,,,,,160.0,29,189.0,82.0,21,103.0,,,,,,,,,,,,,,,,93,8,101.0,,,,,,,9.0,0,9.0,,,,,,,,,,,,,,,,70.0,1,71.0,,,,,,,89.0,9,98.0,,,,,,,,,,,,,,,,74.0,11,85.0,,,,,,,,,,8.0,1,9.0,24.0,3,27.0,16,0,16.0,,,,,,,,,,,,,,,,,,,,,,9.0,3,12.0,,,,,,,99.0,17,116.0,,,,,,,88,12,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0,10.0,,,,2.0,0,2.0,107.0,10,117.0,210.0,28,238.0,,,,,,,239.0,55,294.0,13.0,0,13.0,206,47,253.0,48.0,0,48.0,,,,,,,,,,,,,,,,4.0,1,5.0,1.0,0,1.0,,,,4,0,4.0,153,27,180.0,8.0,1,9.0,,,,45,0,45.0,20.0,2,22.0,21.0,0,21.0,47,2,49.0,23.0,0,23.0,17.0,6,23.0,246.0,34,280.0,,,,142.0,20,162.0,,,,,,,27,0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,19,0,19.0,,,,4.0,0,4.0,,,,5,0,5.0,,,,47,5,52.0,,,,,,,9.0,0,9.0,,,,,,,,,,10,0,10.0,,,,,,,,,,63.0,6,69.0,11.0,0,11.0,,,,,,,47.0,0,47.0,,,,10,0,10.0,,,,,,,,,,80.0,30,110.0,5.0,0,5.0,33.0,4,37.0,,,,,,,12,0,12.0,,,,,,,,,,39.0,1,40.0,,,,44,0,44.0,,,,,,,2.0,4,6.0,,,,,,,,,,31,0,31.0,36.0,4,40.0,156.0,29,185.0,60.0,5,65.0,26.0,1,27.0,,,,,,,33.0,2,35.0,,,,7.0,5.0,12.0,,,,82.0,16,98.0,,,,,,,,,,,,,,,,,,,,,,9.0,0,9.0,,,,,,,,,,,,,,,,,,,5,0,5.0,,,,,,,,,,,,,53,2,55.0,,,,3.0,0,3.0,,,,233.0,50,283.0,133.0,11,144.0,5.0,0,5.0,10.0,0,10.0,,,,115.0,19,134.0,147.0,2,149.0,,,,,,,20.0,0,20.0,13.0,0,13.0,,,,,,,,,,,,,,,,42.0,0,42.0,46.0,3,49.0,,,,,,,10.0,0,10.0,,,,,,,,,,74.0,0.0,74.0,,,,241.0,51,292.0,,,,,,,34.0,0,34.0,,,,,,,31,5,36.0,,,,,,,13.0,0.0,13.0,,,,107.0,9,116.0,,,,2.0,0,2.0
