,country,Gold 2024,Silver 2024,Bronze 2024,Population 2024,GDP 2024,Gold 2020,Silver 2020,Bronze 2020,Gold 2016,Silver 2016,Bronze 2016,Gold 2012,Silver 2012,Bronze 2012,Gold 2008,Silver 2008,Bronze 2008,Gold 2008,Silver 2008,Bronze 2008
43,Ireland,4,0,3,5255017.0,107329.81453723177,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0
44,Israel,1,5,1,9387021.0,56531.67282783324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
45,Italy,12,13,15,59342867.0,39230.157181317176,10.0,10.0,20.0,8.0,12.0,8.0,8.0,9.0,11.0,8.0,9.0,10.0,10.0,11.0,11.0
46,Jamaica,1,3,2,2839175.0,7078.8169098417675,4.0,1.0,4.0,6.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,1.0,2.0
47,Japan,20,12,13,123753041.0,33214.9413605117,27.0,14.0,17.0,12.0,8.0,21.0,7.0,14.0,17.0,9.0,8.0,8.0,16.0,9.0,12.0
48,Jordan,0,1,0,11552876.0,4636.94061980757,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Kazakhstan,1,3,3,20592571.0,14410.05108104277,0.0,0.0,8.0,2.0,5.0,10.0,3.0,2.0,6.0,2.0,3.0,4.0,1.0,4.0,3.0
50,Kenya,4,2,5,56432944.0,1842.9128914486544,4.0,4.0,2.0,6.0,6.0,1.0,2.0,4.0,7.0,6.0,4.0,6.0,1.0,4.0,2.0
51,Korea,13,9,10,51717590.0,34049.3437532569,6.0,4.0,10.0,9.0,3.0,9.0,13.0,9.0,9.0,13.0,11.0,8.0,9.0,12.0,9.0
52,Kosovo,0,1,1,1684790.0,5577.814207705412,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Kyrgyzstan,0,2,4,7186009.0,1892.427354321432,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
54,Lithuania,0,2,2,2859110.0,28389.95351700354,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0
55,Malaysia,0,0,2,35557673.0,12529.475705567122,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
56,Mexico,0,3,2,130861007.0,15413.529562706177,0.0,0.0,4.0,0.0,3.0,2.0,1.0,3.0,4.0,2.0,0.0,2.0,0.0,3.0,1.0
57,Mongolia,0,1,0,3475540.0,6313.551275485248,0.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0
58,Morocco,1,0,1,38081173.0,4001.373592142238,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0
59,Netherlands,15,7,12,18228742.0,62676.29439266846,10.0,12.0,14.0,8.0,7.0,4.0,6.0,6.0,8.0,7.0,5.0,4.0,4.0,9.0,9.0
60,New Zealand,10,7,3,5213944.0,49410.96413770458,7.0,6.0,7.0,4.0,9.0,5.0,6.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,0.0
61,Norway,4,1,3,5576660.0,94492.2229434823,4.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,5.0,1.0,5.0,0.0,1.0
62,Pakistan,1,0,0,251269164.0,1300.5839113190984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Panama,0,1,0,4515577.0,19343.485893386383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,Peru,0,0,1,34217848.0,8254.697957627259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Philippines,2,0,2,115843670.0,4070.278505506602,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Poland,1,4,5,38539201.0,21915.944754537075,4.0,5.0,5.0,2.0,3.0,6.0,3.0,2.0,6.0,4.0,5.0,2.0,3.0,2.0,5.0
67,Portugal,1,2,1,10425292.0,28675.359884404195,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
68,Puerto Rico,0,0,2,3242204.0,36321.89707988763,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Qatar,0,0,1,3048423.0,80266.41971931061,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Republic of Moldova,0,1,3,3034961.0,6048.18315622507,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
71,Romania,3,4,2,19015088.0,19456.70722112882,1.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,4.0,8.0,5.0,6.0
72,Saint Lucia,1,1,0,179744.0,14364.87448816094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Serbia,3,1,1,6736216.0,12154.153014095747,3.0,1.0,5.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
74,Singapore,0,0,1,5832387.0,90053.69499657686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75,Slovakia,0,0,1,5506760.0,25570.026658143808,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0
76,Slovenia,2,1,0,2118697.0,34030.8217739488,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0
77,South Africa,1,3,2,64007187.0,5831.110809478317,1.0,2.0,0.0,2.0,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0
78,Spain,5,4,9,47910526.0,34378.87532272136,3.0,8.0,6.0,7.0,4.0,6.0,4.0,10.0,6.0,5.0,11.0,3.0,3.0,11.0,6.0
79,Sweden,4,4,3,10606999.0,58739.32862631551,3.0,6.0,0.0,2.0,6.0,3.0,1.0,4.0,3.0,0.0,4.0,1.0,4.0,2.0,1.0
80,Switzerland,1,2,5,8921981.0,105184.93594640023,3.0,4.0,6.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,1.0,3.0
81,Tajikistan,0,0,3,10590927.0,1223.0279747938966,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
82,Thailand,1,3,2,71668011.0,7658.786567971029,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0
83,Tunisia,1,1,1,12277109.0,4456.097929895385,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
84,Türkiye,0,3,5,87473805.0,12730.2110614715,2.0,2.0,9.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0
85,Uganda,1,1,0,50015092.0,1125.8601703661766,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Ukraine,3,5,4,37860221.0,4990.541391715595,1.0,6.0,12.0,2.0,5.0,4.0,5.0,4.0,10.0,7.0,4.0,11.0,8.0,5.0,9.0
87,United States,40,44,42,345426571.0,83320.39980792328,39.0,41.0,33.0,46.0,37.0,38.0,48.0,26.0,30.0,36.0,39.0,37.0,36.0,39.0,26.0
88,Uzbekistan,8,2,3,36361859.0,2693.921672156531,3.0,0.0,2.0,4.0,2.0,7.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,1.0,2.0
89,Zambia,0,0,1,21314956.0,1401.457267845169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
